  ENERO 2007,,,,
Yaonáhuac,210,207,431,2.082
Zacapoaxtla,25,25,53,2.11
Zapotitlán de Méndez,496,496,1056,2.129
Zongozotla,936,936,2514,2.686
Zoquiapan,212,212,424,2
TOTAL,22774,22403,45350,2.024
  ABRIL 2018,,,,
Acateno,130,129,200,1.55
Atempan,148,146,291,1.992
Atlequizayan,160,160,320,2
Ayotoxco de Guerrero,750,745,1090,1.464
Caxhuacan,278,268,530,1.978
Cuetzalan del Progreso,4835,4722,8403,1.78
Huehuetla,1276,1233,2520,2.044
Hueyapan,670,668,1270,1.901
Hueytamalco,4800,4790,10340,2.159
Hueytlalpan,506,506,941,1.86
Huitzilan de Serdán,1815,1645,4012,2.439
Ixtepec,410,410,745,1.817
Jonotla,721,717,1285,1.792
Olintla,1160,1156,1865,1.613
Teziutlán,201,200,421,2.105
Tlatlauquitepec,1683,1680,3952,2.352
Tuzamapan de Galeana,642,642,1118,1.741
Xochitlán de Vicente Suárez,710,710,1568,2.208
Yaonáhuac,210,207,431,2.082
Zacapoaxtla,25,25,53,2.11
Zapotitlán de Méndez,496,496,1056,2.129
Zongozotla,936,936,2514,2.686
Zoquiapan,212,212,424,2
TOTAL,22774,22403,45350,2.024
  MAYO 2018,,,,
Acateno,130,129,200,1.55
Atempan,148,146,291,1.992
Atlequizayan,160,160,320,2
Ayotoxco de Guerrero,750,745,1090,1.464
Caxhuacan,278,268,530,1.978
Cuetzalan del Progreso,4835,4722,8403,1.78
Huehuetla,1276,1233,2520,2.044
Hueyapan,670,668,1270,1.901
Hueytamalco,4800,4790,10340,2.159
Hueytlalpan,506,506,941,1.86
Huitzilan de Serdán,1815,1645,4012,2.439
Ixtepec,410,410,745,1.817
Jonotla,721,717,1285,1.792
Olintla,1160,1156,1865,1.613
Teziutlán,201,200,421,2.105
Tlatlauquitepec,1683,1680,3952,2.352
Tuzamapan de Galeana,642,642,1118,1.741
Xochitlán de Vicente Suárez,710,710,1568,2.208
Yaonáhuac,210,207,431,2.082
Zacapoaxtla,25,25,53,2.11
Zapotitlán de Méndez,496,496,1056,2.129
Zongozotla,936,936,2514,2.686
Zoquiapan,212,212,424,2
TOTAL,22774,22403,45350,2.024
  JUNIO 2018,,,,
Acateno,130,129,200,1.55
Atempan,148,146,291,1.992
Atlequizayan,160,160,320,2
Ayotoxco de Guerrero,750,745,1090,1.464
Caxhuacan,278,268,530,1.978
Cuetzalan del Progreso,4835,4722,8403,1.78
Huehuetla,1276,1233,2520,2.044
Hueyapan,670,668,1270,1.901
Hueytamalco,4800,4790,10340,2.159
Hueytlalpan,506,506,941,1.86
Huitzilan de Serdán,1815,1645,4012,2.439
Ixtepec,410,410,745,1.817
Jonotla,721,717,1285,1.792
Olintla,1160,1156,1865,1.613
Teziutlán,201,200,421,2.105
Tlatlauquitepec,1683,1680,3952,2.352
Tuzamapan de Galeana,642,642,1118,1.741
Xochitlán de Vicente Suárez,710,710,1568,2.208
Yaonáhuac,210,207,431,2.082
Zacapoaxtla,25,25,53,2.11
Zapotitlán de Méndez,496,496,1056,2.129
Zongozotla,936,936,2514,2.686
Zoquiapan,212,212,424,2
TOTAL,22774,22403,45350,2.024
  JULIO 2018,,,,
Acateno,130,129,200,1.55
Atempan,148,146,291,1.992
Atlequizayan,160,160,320,2
Ayotoxco de Guerrero,750,745,1090,1.464
Caxhuacan,278,268,530,1.978
Cuetzalan del Progreso,4835,4722,8403,1.78
Huehuetla,1276,1233,2520,2.044
Hueyapan,670,668,1270,1.901
Hueytamalco,4800,4790,10340,2.159
Hueytlalpan,506,506,941,1.86
Huitzilan de Serdán,1815,1645,4012,2.439
Ixtepec,410,410,745,1.817
Jonotla,721,717,1285,1.792
Olintla,1160,1156,1865,1.613
Teziutlán,201,200,421,2.105
Tlatlauquitepec,1683,1680,3952,2.352
Tuzamapan de Galeana,642,642,1118,1.741
Xochitlán de Vicente Suárez,710,710,1568,2.208
Yaonáhuac,210,207,431,2.082
Zacapoaxtla,25,25,53,2.11
Zapotitlán de Méndez,496,496,1056,2.129
Zongozotla,936,936,2514,2.686
Zoquiapan,212,212,424,2
TOTAL,22774,22403,45350,2.024
  AGOSTO 2018,,,,
Acateno,130,129,200,1.55
Atempan,148,146,291,1.992
Atlequizayan,160,160,320,2
Ayotoxco de Guerrero,750,745,1090,1.464
Caxhuacan,278,268,530,1.978
Cuetzalan del Progreso,4835,4722,8403,1.78
Huehuetla,1276,1233,2520,2.044
Hueyapan,670,668,1270,1.901
Hueytamalco,4800,4790,10340,2.159
Hueytlalpan,506,506,941,1.86
Huitzilan de Serdán,1815,1645,4012,2.439
Ixtepec,410,410,745,1.817
Jonotla,721,717,1285,1.792
Olintla,1160,1156,1865,1.613
Teziutlán,201,200,421,2.105
Tlatlauquitepec,1683,1680,3952,2.352
Tuzamapan de Galeana,642,642,1118,1.741
Xochitlán de Vicente Suárez,710,710,1568,2.208
Yaonáhuac,210,207,431,2.082
Zacapoaxtla,25,25,53,2.11
Zapotitlán de Méndez,496,496,1056,2.129
Zongozotla,936,936,2514,2.686
Zoquiapan,212,212,424,2
TOTAL,22774,22403,45350,2.024
  SEPTIEMBRE 2018,,,,
Acateno,130,129,200,1.55
Atempan,148,146,291,1.992
Atlequizayan,160,160,320,2
Ayotoxco de Guerrero,750,745,1090,1.464
Caxhuacan,278,268,530,1.978
Cuetzalan del Progreso,4835,4722,8403,1.78
Huehuetla,1276,1233,2520,2.044
Hueyapan,670,668,1270,1.901
Hueytamalco,4800,4790,10340,2.159
Hueytlalpan,506,506,941,1.86
Huitzilan de Serdán,1815,1645,4012,2.439
Ixtepec,410,410,745,1.817
Jonotla,721,717,1285,1.792
Olintla,1160,1156,1865,1.613
Teziutlán,201,200,421,2.105
Tlatlauquitepec,1683,1680,3952,2.352
Tuzamapan de Galeana,642,642,1118,1.741
Xochitlán de Vicente Suárez,710,710,1568,2.208
Yaonáhuac,210,207,431,2.082
Zacapoaxtla,25,25,53,2.11
Zapotitlán de Méndez,496,496,1056,2.129
Zongozotla,936,936,2514,2.686
Zoquiapan,212,212,424,2
TOTAL,22774,22403,45350,2.024
  OCTUBRE 2018,,,,
Acateno,130,129,200,1.55
Atempan,148,146,291,1.992
Atlequizayan,160,160,320,2
Ayotoxco de Guerrero,750,745,1090,1.464
Caxhuacan,278,268,530,1.978
Cuetzalan del Progreso,4835,4722,8403,1.78
Huehuetla,1276,1233,2520,2.044
Hueyapan,670,668,1270,1.901
Hueytamalco,4800,4790,10340,2.159
Hueytlalpan,506,506,941,1.86
Huitzilan de Serdán,1815,1645,4012,2.439
Ixtepec,410,410,745,1.817
Jonotla,721,717,1285,1.792
Olintla,1160,1156,1865,1.613
Teziutlán,201,200,421,2.105
Tlatlauquitepec,1683,1680,3952,2.352
Tuzamapan de Galeana,642,642,1118,1.741
Xochitlán de Vicente Suárez,710,710,1568,2.208
Yaonáhuac,210,207,431,2.082
